epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,4032.41,0.78165,1.33965,1.17563,0.80721,0.71918,0.80675,0.68772,0.62488,0.87698,1.09003,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
31,4160.02,0.77365,1.32854,1.17467,0.78144,0.73707,0.82106,0.69853,0.61019,0.86611,1.07802,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
32,4300.59,0.77977,1.31039,1.17303,0.80245,0.76929,0.84166,0.72177,0.60762,0.79011,1.06965,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
33,4434.59,0.78174,1.33012,1.17577,0.82808,0.7567,0.83979,0.72372,0.60177,0.79774,1.06543,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928
34,4564.95,0.77144,1.30543,1.17149,0.79125,0.74675,0.82437,0.70617,0.60041,0.82194,1.07086,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
35,4692.53,0.76747,1.29821,1.17041,0.82202,0.78302,0.85088,0.73713,0.59092,0.76242,1.06656,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713
36,4826.51,0.76637,1.29033,1.16851,0.80448,0.78462,0.84908,0.72718,0.59837,0.76876,1.0718,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
37,4956.71,0.75862,1.25183,1.158,0.82965,0.7741,0.85524,0.74004,0.57964,0.75756,1.05245,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
38,5082.31,0.75589,1.2657,1.15998,0.8386,0.75668,0.84962,0.73511,0.58136,0.77095,1.05675,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664
39,5217,0.76524,1.26915,1.16277,0.82956,0.7896,0.86415,0.74788,0.58635,0.74188,1.06103,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333
40,5355.19,0.75487,1.26401,1.15756,0.83132,0.80249,0.86404,0.74829,0.57381,0.73522,1.04931,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
41,5487.98,0.74701,1.24172,1.1554,0.83241,0.79046,0.86731,0.75083,0.5765,0.73774,1.04698,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
42,5622.14,0.75289,1.22469,1.15694,0.8371,0.79815,0.86628,0.7539,0.56661,0.73723,1.04018,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443
43,5757.3,0.75079,1.2347,1.1562,0.84997,0.78865,0.86703,0.76465,0.5568,0.71189,1.02898,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
44,5884.85,0.74273,1.21993,1.15364,0.84977,0.79742,0.87709,0.769,0.55572,0.69738,1.02951,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468
45,6014.48,0.73844,1.20943,1.15535,0.85617,0.79776,0.87765,0.76628,0.5531,0.70902,1.02779,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277
46,6144.2,0.73559,1.17979,1.14421,0.85797,0.80123,0.88228,0.77268,0.55004,0.66961,1.0249,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
47,6281.47,0.73547,1.19065,1.14734,0.85478,0.80678,0.87845,0.77335,0.54246,0.67267,1.01665,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503
