epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,8761.27,0.62908,1.01657,1.12833,0.85964,0.8091,0.88825,0.8036,0.45561,0.6004,1.00644,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
31,9034.98,0.62533,1.00419,1.12691,0.86825,0.80509,0.89126,0.80739,0.45002,0.60049,0.99867,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
32,9309.78,0.62565,0.98931,1.12419,0.85478,0.83539,0.89971,0.81494,0.45211,0.5749,1.00226,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
33,9584.28,0.6299,1.00511,1.12687,0.87468,0.82888,0.89934,0.81621,0.44448,0.56843,0.99099,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928
34,9860.56,0.61884,0.97895,1.12446,0.86023,0.82234,0.90243,0.81802,0.44836,0.57754,0.9958,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
35,10136,0.61508,0.9877,1.12523,0.88513,0.82587,0.90893,0.82534,0.44041,0.54999,0.99432,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713
36,10409.7,0.61316,0.95958,1.1203,0.87296,0.84699,0.90994,0.82867,0.43909,0.5582,0.98502,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
37,10684.4,0.60599,0.92694,1.10874,0.90101,0.8391,0.91443,0.8343,0.43122,0.53984,0.97699,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
38,10958.9,0.60184,0.93371,1.10816,0.89457,0.83052,0.90933,0.82986,0.43148,0.5557,0.98017,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664
39,11231.5,0.60898,0.93171,1.11082,0.90565,0.84096,0.92011,0.84362,0.42535,0.52508,0.97569,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333
